text,label
Urgent! Your account will be suspended. Click here,1
Verify your account immediately,1
You have won a free gift! Click to claim,1
Update your bank details now,1
Confirm your PayPal account,1
Your account has been locked,1
Security alert! Login immediately,1
Unusual login attempt detected,1
Your card has been blocked,1
Click here to reset password,1
Claim your free prize now,1
Verify OTP immediately,1
Your email storage is full,1
Important update required,1
Your order was not delivered,1
https://secure-bank-verify-login.netlify.app,1
https://secure-bank-youraccount.netlify.app/dashboard,1
http://account-secure-login.info,1
http://verify-paytm-login.com,1
https://login-update-bank.netlify.app,1
https://bank-confirm-session.netlify.app,1
https://www.icicibank.com,0
https://www.sbi.co.in,0
https://www.hdfcbank.com,0
Meeting scheduled at 10am tomorrow,0
Your order has been shipped,0
Let's have lunch today,0
Invoice for last month attached,0
Project deadline is next Monday,0
Happy birthday! Have a great day,0
Team meeting rescheduled,0
Your subscription is active,0
Please review the attached document,0
Lunch at 1pm today,0
Conference registration confirmed,0
Your package is out for delivery,0
Monthly report is ready,0
Dinner plans tonight,0
Your appointment is confirmed,0
Reminder about tomorrow's event,0
Office will be closed tomorrow,0
Thank you for your payment,0
Let's discuss the project,0
Schedule for next week,0
Your meeting agenda is ready,0
Your account statement is attached,0
Thank you for your order,0

